rateContent,appendComment_content
图片是夜间的效果，还不错，功能齐全，就是在运行的时候有时会黑屏，经过咨询内存卡使用前要格式化，总体来说还不错，这个价位算可以的了！,
自己安装前后摄像头，如果不弄倒车影像，不难。最难是SUV后摄像头走线过后盖连接处防水胶套，一点点挤。,
没什么说的，清晰度是还不错，就是售后有点差.......,
很好用，画中画功能，老板很热情教安装，不小心删除软件老板又发给我下载，太感谢了，很满意的一次购物,
商品是门卫代收的，现在没找到，不过跟快递小哥没关系，我同意代收的，过几天应该能找到，在不确认收货就到期了，先确认，找到商品在评价,
物有所值，很美观，值得拥有,
效果不错,
牛叉的东西  无论是ADAS辅助  还是电子狗  都可以   至于效果  有就不错了  别要求完美  后悔没要高清的   机子不错  希望耐用,
不错，记录仪分辨率很高，我很满意。,
很不错，安装使用都很方便,
非常棒的产品，物美价廉,
安装成功，下一步就看稳定性了。,
很好 很清楚 而且安装很简单,
用了几天才来评价，都还好，就是电子狗是没用，偶尔报个两三个红绿灯就安静了,
不错的导航，再次购买，质量非常不错，价格也挺实惠的,
用安卓手机测试了下，一切功能正常，抽空就安到车上去。,
其他的功能显示都挺好唯一就是画中画不显示,
还可以，各项功能使用正常，很清晰，我买的不是普通像素的，也挺清楚，尤其是晚上也照样清晰，给个满分，想买的朋友可以下手，绝对真实评论,
清晰度一般般,
宝贝收到了，但还没有试用，不知道怎么样。,
挺清楚的，晚上还没有用过,
用了半个月了才来评价，非常满意，大家放心的,
东西很好不错 值得购买 老板人好 服务态度很好,确实很好 犹豫的朋友赶紧下单吧！很清晰
产品收到，装上试了试效果挺好、挺清晰的。ADAS功能算是有吧！不是很准确，毕竟不是主功能，符带功能，技术有待提高。,
操作简单，视频清晰,
夏天强光不算清！凑合吧,
不错，非常清楚，价格还便宜，商家服务周到。,
可以，摄像很清晰店家服务很好！！！,
勁 功能強大 一個鏡頭可以做到差距 一流 有啲感覺似打機 ADAS 比以前 別家 六百多元的wifi版 實用好多,
挺好的～感觉不错,
时间没法调整,
老板人很好很好,
第二次复购了 东西不错 物有所值 在这就不多说了 反正是好,
昨天刚按好 效果相当不错 晚上清晰度也刚刚的 这不朋友也想要一个 老板服务态度也热情  一会儿帮朋友在买一个,
记录仪还不错，对比了几家以后买的这家，电子狗、行车辅助等功能都有了，清晰度也还不错！,
宝贝挺不错的，用着可以，就是语音提示有点慢。,
发过来线是坏的补发一条是错的   叫发回去麻烦           这边找修车的接起来还是可以用    就发个差提醒一下下次发货检查好了再发,
装上了  功能及操作慢慢熟悉中,
图像很清晰,
服务周到，价格合理,
这个价格买的真便宜,
宝贝很好，物有所值，性价比高，大家放心购买，,
性价比不错,
不错，清晰度高。,
东西很好!希望耐用!!,
还可以，就是有点卡,
习惯好评,呵呵
满意好评！,
可以，防碰瓷够用了，电子狗功能跟高德地图的差不多，adas辅助有待提高，不过体验感觉可以，好评。,
很好，全给五分好评。,
东西很好用，店家服务态度很好，值得推荐，赞一个！,
物有所值，图像清晰，电子狗准确，车道偏离预警功能如商家所说，点个赞，好产品。,
行车记录仪接安卓系统车机，非常完美！外形匹配、清晰度、客服服务都非常到位！大力推荐！,已经用了几天，特意过来做个总结，结论是：完美！外观完美，功能强大完美，兼容性完美，尤其是售后完美无缺！外观小巧美观，视频高清，夜视效果普通路灯情况下亮如白昼(手机照片太暗，体现不出实际效果)，售后客服非常敬业负责，产品相关的，不相关的问题都积极解决，令人感动。小产品都能做到大服务，不简单！谢谢了！
宝贝到了，非常好，真正解决了目前用车需求，给个赞,
收到东西挺好的满意安装也好安装,
好用，安装方便，更新软件后就能使用ADAS。,
已安装挺好的，挺清楚的,
非常好，很清晰，店家服务态度也好，不会不耐烦，祝生意兴隆,
一分钱一分货，自带储存卡是1G的。总比没有强,内存卡重新格式化就好了，产品简单易用。还是不错的。
记录仪质量很好，图像清晰。,
此用户没有填写评论!,东西质量特别好，买回来就装上去了。
东西很好，小礼品也很多,
出现死机，卖家一直没有给出解决方案，退货还得拆车,
挺清晰 看看用一段时间怎么样 会追评 希望质量过硬,
图像清晰，夜间也不错，这个价格值,
宝贝完美呀，和中控面板材质及颜色完美匹配，不像我去汽配城找的颜色始终有点不同，功能齐活用着像手机电脑一样。加装的胎压监测能兼容 记录仪清晰离前车太近以及电子狗都有提示，这个价位只能说 值 太值了！心情美美的 ^_^,
声音忽大忽小，没人理我,
adas时有时无，电子狗直接就没有,
记录仪广角大视频清晰，占用空间小，卖家服务非常好，值得信赖。,
回头客,像素挺清晰，其它功能也不错，ADAS在大路上好使，小路不太准。
可以白天很清晰，晚上还没试,
不行不行不行垃圾,
宝贝还可以，物流很快，值得购买,
不错，很清晰,
还可以！摄像很清晰！就是安装软件的时候下载了无法安装！卖家直接发的安装包安装的！,用了几次！感觉就是不能后台运行！开高德导航！记录仪就退出了！也不运行了！跟售后联系了！刚开始还是很积极！后来就爱理不理的了！就一句话！没得这么快处理好！晕！有点敷衍了事！记录仪感觉ADAS反应有点慢样！后续再来追评！
录像确实清晰，色彩显示也很接近真实的，广角度大不会变形，另外电子狗使用效果非常满意，比手机好用多了,
大广角就是大广角，视野宽，转个弯像拍大片一样，清晰度没的说了，必须好评，，只是个安装还是有点点复杂&middot;&middot;&middot;,
图像清晰，不失真，比我在另一家买的要好很多！以后买电子产品先来这家看看。点赞！推荐购买。,
录像很清楚，外观也大气，好产品,
记录仪收到安装过程遇到问题店家耐心讲解终于装好了，这款记录仪简单好用值得五星好评。,
非常清晰非常好的行车记录仪&hellip;&hellip;谢谢卖家指导。,
"评价方未及时做出评价,系统默认好评!",连中控屏看很清楚
很好，有不懂的老板都及时解决了！装上很整洁,
好产品，666,
习惯好评！装好了给大家发照片~天天快递太慢,
记录仪真的很好.功能很多.售后也很好,
服务好 东西很棒,
东西很好，而且功能还很多，就是**这个物流太慢了，等了好几天才收到。老板人很好，好评,
收到，谢谢。安装后有些小问题，客服能想办法帮助。谢谢。,
记录仪不错，功能蛮多的，ADAS好用，画面清晰，,
店家服务状态很好，记录仪功能很全，外观也很漂亮，估计有镜柱的车，装上会更漂亮&middot;,
到货了，做工精细，用来配我的小腾应该效果不错，客服服务态度非常好，下次推荐朋友过来买,
记录仪效果非常好，性价比高，满意的一次购物,"已经用了一段时间,这款记录仪非常清晰,电子狗播报路况精准, 物美价廉,性价比高。店家服务热情,有问必答。非常完美的一次购物。"
还不错，钱没白花,
就这个价位，从拍照、视频、连接、查看及清晰度，均表示满意,
送的卡不是正品金士顿的，勉强可以接受。,
出差几天，试了下，清晰度和拍摄角度都还不错，值得购买。,
记录仪很好，性价比高，值得购买，五星好评。,
真心说记录仪很好,
屏幕尺寸正好。用起来不错。功能挺多还在摸索中。录像效果好，拍摄范围宽广，超划算，真的很满意，给个赞，关键是价格比实体店便宜太多。这次购物非常满意。客服服务态度非常好，有应必答！,
帮朋友买的，朋友说很好，画面清晰，功能多，赞,刚好卡镜柱，头有点大，估计用料不错
星光夜视，晚上也清晰,
说匹配主流车型，结果奇瑞艾瑞泽原车的不能看,
安装简单图像清晰，不过线稍微有点短。好评,
和图片描述不一样，店家说是升级款，不过没有原来的好看，做工一般，电子狗和道路辅助鸡肋功能，来了电子狗后台音乐就没声音，道路辅助测距离不准，画面还挺清晰，总体失望，和我看到的另一款90多的差不多，,
骗人的，根本没法用，和描述的一点都不一样，功能都没法开关，总体来说就是没法用，,骗子，和描述的都不一样
个人感觉很好，质量自己体验去。,好东西，来晚了评价都不能放照片了
不错，宝贝很好，清晰度有点差,不良卖家，买的1080的给发的720的，问也不给处理！
宝贝质量不错。安装挺方便的。只要有大屏的导航系统。导航系统必须要有USB接头才可以的。我买的是720P的。也不错?！先给五星好评。后期再追加好评。,
宝贝收到了很不错，虽然在安装后由于我这边的连接线要不得，卖家很快又给我发了一根，很不错的卖家。,
功能齐全 设定安装简单 物超所值,装机多** 使用上没问题 清析 好操作
宝贝，不错，收到之后立马装上了，像素清晰度都挺好的。,
能用，一般般。,
还没装，不过看过去还可以,
还行吧，就是不懂为啥老是跳屏，老板蛮好的，还重新发了跟线过来，虽然久不久会跳屏，服务态度还可以，还有就是720p的不是很清楚建议大家买1080p的比较清晰,
真实1080P！完美兼容我原有闪迪32G高速卡！有需要的朋友们别再犹豫！,
打开adas行车记录会卡，不知道1080的会不会好点,
真正的1080P高清记录仪，好评，好评，好评,
720P如图效果，噪点还是比较多的，但是这个便宜啊，还要啥自行车。建议大家买1080P的。,
感觉很不错的，真正的1080就是感觉有些功能反应慢了许多,
还行吧，毕竟89元的价格，便宜，,
录像很清晰，挺划算的，质量不错,
宝贝真的很好，当天安装，售后服务及时，服务态度挺好的，很容易安装。放心购买，,
我老公说挺靠谱的，应该就是挺好的，用过再来追评哈,
用起来方便  非常好！,
总体满意,
adas很好用，阴天小雨也很清晰,
买回来后一直忙忘了评价，买回来自己动手换了一下，东西挺好用的！,
好评好评非常不错。功能还全，好评好评好评好评好评好评好评好评非常不错。功能还全，好评好评好评好评好评好评好评好评非常不错。功能还全，好评好评好评好评好评好评好评好评非常不错。功能还全，好评好评好评好评好评好评,
指定点安装店师傅操作熟练，1小时安装完毕，装上后十分上档次，整个内饰风格都有了完美的提升，屏幕分辨率很清晰，安卓系统几乎没什么延迟，导航也很好用，音响效果比原机效果要好 送的倒车影像也清晰！！ 这么晚才评论，真是抱歉了！产品真心不错！,
不错，蛮好的,
这产品相当的好用，摄像头的广角很大，很清晰。价格也是相当的低！真是物美价廉！,
此用户没有填写评论!,好東西
此用户没有填写评论!,
此用户没有填写评论!,
宝贝很好  质量为不错  卖家很细心,
客观的讲有优点：白天，晚上也都能看的很清楚，这个是蛮好，但是缺点：这款记录仪不是说所有车都通用，我的车是起亚k2 12款，其实是无法安装的，但是试过效果后，只能把记录仪的支架锯了，才勉勉强强的安装好，改过之后美观度是差了，就是图个清晰。也就算了。安装好了之后，有几次，晚上开车会闪屏，今天白天突然还黑屏了，把记录仪关了再开又有了，总结一句话：东西不错，但是可靠性还是有缺陷，不稳定。,这个就是好好的，突然有花屏，黑屏是没拍
此用户没有填写评论!,
good,
之前买了一个别家的，说是高清结果图像不清晰，前面牌照很近都看不清楚，换了一个还是不行，和我的导航还不兼容，搞得我都不想再买大屏uSB导航仪了，最后想想还是再买个试下，也没报多大希望结果果完全出乎我的意料，图像很是清晰，有图为证，和我的大屏也兼容特地用了几天才收货，终于买到了满意的记录仪，目前没有问题，希望能用久，这个必须好评。,
好，真的很不错清晰度很赞,
东西不错，录像清晰，回放流畅不卡顿，电子狗和ADAS精准，使用一段时间看看，记录仪如能长期稳定使用的话，再买几个把我那几辆车都安装上。,
产品很好，隐藏式的。而且能在导航上显示非常实用，清晰度也好，功能全面值得购买，价格实惠，卖家良心！,
录像很清晰，电子狗很准，快递快，客服有问必答，各种提醒很到位，满意。,
效果还可以，比买带屏幕的好用多了，简单方便操作,
还可以!自己轻松安装 带的小工具很有用 连线都隐藏了 OK,
上两天收到了，昨天刚装好，东西安装方便，也比较清晰挺不错的，好评！,
功能挺全，要先升级软件版本才可以的。,
质量非常好也很好用很方便值得购买,
浪费时间浪费精力，159买了张卡。,
价廉物美，好用功能多。,
很好，摄像很清淅。等我把右摄像头安上去以后，再来追评吧！,
价格实惠质感不错，安装方便希望耐久度也ok吧，刚装好忘记拍图了回头补上，店家服务不错值得推荐！,
不错，很小巧，看着很高端大气上档次，期待使用效果！,
太棒了，自己安装，调试搞定，,
质量很好，很清晰，需要的朋友放心够买吧，没拍照片，用几天追加在拍个视频,
货收到，外观好看，挺小巧，只是还没连导航大屏，用后追评。,
宝贝不错，物超所值！老板人也好，咨询耐心回答并给出解决方案,用了几天，宝贝确实不错，车载USB接口不够老板给出的主意不错。值得推荐
此用户没有填写评论!,开机不能自动录，不方便。不怎么清晰。
货已收到，还未安装。 东西挺沉，质量应该不错，有电子狗和adas功能,图片有点大，传了好长时间
挺好的，这个价位的记录仪，可以了,
宝贝质量很好，物超所值，老板人也很好，有问题及时给解决,
同垃圾沒有分別 插頭根本就鬆 說是我拉斷 沒有誠信的店 99元買多個教練,
好用66的,
使用了一段时间感觉挺好，摄像挺清楚的，是一款不错的行车记录仪，卖家服务真的不错，好评，,
白天清晰度可以，夜晚清晰度一般,
东西真的不错，加上我的大屏，完美,
发货快，录像很清晰，电子狗很准的，服务很热情，非常好,
录出来的东西一点都不清晰，根本看不清车牌，很差,
效果可以的，晚上也很棒。卖家也很耐心跟我解说。赞一个,
发货很快，图像挺清晰，电子狗和ADAS没用呢，用后追评。,
很好用，就是语音提示的声音太小了,
效果很好！不错，图像很清晰，我的手机不好，又逆光拍，拍的照不太清，不是记录仪的问题，记录仪很好！,
&lsquo;图像太慢,
宝贝总体还行，对得起这个价，有图为据，全5星 给店家一个鼓励奖,
帮朋友买的，据说是不错,
前后摄像头像素都很清楚。颜色也正。支持大屏会看、车道和前车启动偏离提醒。挺好的。,
很不错 卖家很耐心 比之前的清晰好用 其他功能摸索中,
视频挺清晰的，比之前买的好多了，还不占地方,
白天还行吧，晚上的话不是太清楚，除非紧挨着，不然看不清楚车牌号的，至于前车距离预警之类的看看就好别真当回事，很不准确,
安装好几天了。前后摄像头像素都很清楚。颜色也正。支持大屏会看、车道和前车启动偏离提醒。挺好的。会,
质量很好很好用，安装也简单店家很好，好评。,
第二次购买,
白天还算很清楚 晚上就差点 不过这个价钱买到这样的产品也算是可以了,
此用户没有填写评论!,很好用，老板人很好，很便宜
非常清晰，买的前后双录，自己动手排线，比我五百多买的后视镜记录仪清晰多了，还带提醒功能，还可以直接看回放，哈哈，性价比很高！！,
此用户没有填写评论!,这个记录仪品质真差，很不清晰。特别到晚上噪点太多。买赔了。
货收到了，由于车机匹配不适，反馈卖家，卖家会很有耐心的一步一步教我怎么做。给个赞?！我会继续在该家店里查找我所需要的车载用品！,
用了一段时间了，感觉很好提醒很及时。,
记录仪还不错，像素也可以接受，就是使用中有点不方便，不能与播放音乐同时使用，APP必须要优化啊。,
实际功能与描述不一致,
很好，物美价廉,
垃圾产品大家不要买，售后电话打都打不通，绝对投诉，卡的要死,太垃圾跟他们讲的都差太远，白天都有模糊，其他功能根本没有！还浪费这么多时间，我修车的，这产品不能买
真的太好了，功能强大，电子狗精准，车道偏离好用，记录仪清晰。非常棒的产品。,
东西还是很给力，很精致。电子狗也可以。实时播报。,
宝贝做工很精致，功能也多，录像清晰,
刚刚送到 我就迫不及待安上了  看看说明让后插上线下载软件   安装完毕 就出来画面了     不懂的地方问了下客服态度很好  一一解答    我会推荐我的朋友,
刚到货，未安装，后期追评,
安卓行车记录仪不错，画面很清，不错,
连接中控非常实在 好用，买家 服务态度非常好 值得购买,
物有所值，很精致的一款行车记录仪拍摄效果不错。卖家服务态度很好?好评！,
很不错，特别是前摄像头很清晰！adas也很好！,
非常简单 便捷安装，有客服耐心指导 完全可以纯手工自己安装。,
收到货安装不上app掌柜很耐心的教会了、自己动手跑的线很漂亮、录的像也很清晰,
前摄像头720p，白天还可以，晚上够呛。后摄像头只有480p，偏色，不清晰，白天雪花模糊。前后同时录，每秒要写入4M左右的数据，我用东芝32g的U1速度的卡（写入速度20M/秒），居然会卡；换东芝32g的U3的卡（写入速度30M/秒），就不卡了&hellip;估计是记录仪内置的读卡的芯片问题&hellip;这款记录仪主要是用起来方便，准备自己换个720p后摄像头，不知道芯片支不支持&hellip;,
老板非常的耐心回答问题，装上后客户出来试试，回来说挺不不错的，电子狗非常的准。,
记录仪录制的很清晰 安装简单自己就能操作 店家服务很到位,
东西收到了，有点不懂接线，客服耐心解答，非常感谢,
不错，像素清晰，会关注你的,
很好 牛B克拉S,很清楚 功能强大
东西收到，摄像头就玻璃就是花的，而且卖家对自己的东西都不了解，收到后完全跟导航系统安装不了,
挺好的 操作简单,
很满意的一次购物     很好安装   客服态度很好,
还可以吧！安装简单车道辅助有点傻,
记录仪不错，挺清楚的，客服很有耐心，不错给个好评,
安装简单，画面清晰，不错。,
卖家的服务非常不错   东西也不错   真心推介,
比我以前的好用,垃圾产品，不打开软件就不能录像，还说是通电自启录像
这价格基本满足了。,
收到了很好，就是我车安装不了,
此用户没有填写评论!,以实物不符 有的工能没有
记录仪非常高科技，价格非常便宜，有行车轨迹提醒，还有电子狗，视频非常清晰，这个价格连个普通的记录仪都买不到，真的非常满意，值得推荐。,
经商家指导软件才安装好，效果可以，回放有些不太流畅，不知是否我的系统原因？总之可以的。,
这个价位可以了，总体感觉不错，晚上也很清晰，感觉晚上比白天要清楚呢，忘拍晚上的照片了,
说的有内存，结果没有！,
东西不错！很清楚。这次电子狗，adas行车辅助。卖家也很细心解答！五分！！！！????,
看着还行，  你们自己看，  你们觉得好不好看，  像素还行,
东西收到了不会弄老板耐心的说才弄好，服务态度很好需要的朋友可以放心买,什么偏离提醒都没有设置里面也弄过了还是没有
真心不赖，安装简单，绝对高清，和自家大屏配合完美，满分！,好用，良心店家！
宝贝很好用，晚上都很清晰，不明白的客服很有耐心给讲解。这次购物很满意,
不错效果挺好,
挺好的，收到就迫不及待的打开晒晒图准备安装！安装简单！,
记录仪效果很好，值得购买！特别是电子狗很实用，客服很耐心，服务态度很好。,
此用户没有填写评论!,非常好 功能齐全
质量好，功能齐全,
很好的，老板服务好，,
除了行车记录之外什么功能都没有，跟描述的完全不一样。,经过店主细致讲解，联网升级版本后，其它功能才能够使用。之前因为没有升级所以没有看到其它功能，之前评价不太准确，现在给好评。
产品真的很好，很不错，真的超级赞，真是一次很满意的购物，会介绍朋友来买的，喜欢的亲们可以入手哦。32个赞。全5分好评。,卖家服务很好
经常黑屏不显示，想想在需要浏览的时候，打开一看没记录，是不是很崩溃。,怎么样大家自己看，经常这样，大家想想关键时刻如果这样要这个有什么用?
除了像素其他都满意，不赖,
清晰度差了点,
很好的，不懂的地方卖家都一一解答，期待效果,
东西坏的，卖家还不退款，差评,
东西很好，物有所值，大家放心购买!,
车被撞了还没装车在修还不知道什么时候能修好，还不知道什么效果,
真是不错，电子狗功能强大，前车距离提示很是试用，赚大了 哈哈 很好 很专业,
非常清晰，比我之前的好很多，但可惜，我的是貨車，玻璃斜面不夠，不能貼在玻璃上，只有另外想辦法了,再忙也要來追評，想不到這個價錢可以買到這麼強大的記錄儀，清晣度非常滿意，還有電子狗定位也准確，店家的服務很到位，原本的版本是什麼功能都沒有顯示的，後來經店家解釋，升級最新版後，所有的功能全部都有，非洲滿意，一百個?，祝店家生意興隆
还行，挺好，,
宝贝已收到，还没来急安装挺好的,
效果挺好的，值得购买,
收到货出了点小问题，商家处理比较满意，就是发觉录像不太清晰，不知道是不不是真要放电脑观看才清晰，先给中评，过两天用电脑试试再追评！！！,
运输速度快，卖家服务态度好，有问题随时解决。产品外观可以，画面清晰，摄像头校准好之后，车距预警准确度有百分之60，车道百分之80以上（水平和垂直的都较准确），前车启动提示目前百分百成功。美中不足的是摄像头校准很麻烦，我自己校准了三次，功能才好用（摄像头没对正角度的话，adas功能会不准确的），需要有一定动手能力，手残还是让专业师傅安装吧。,
好用。很清晰的摄像头。ADAS功能相对来说很强大！！！,
白天可以，晚上差点，安装简单。,
宝贝摄像头挺清晰 安装简单,
清晰度还可以，支持,
还行吧,
首先画质并非淘宝店铺宣传的1080P而是720P，然后录制的视频是卡的，可以看我评价里上传的录像，基本两秒卡一次；再者粘贴不牢固，热天太阳一晒就会掉下来，adas完全不敢用，之前更新了试用了下，直接连录像都受影响，过一会就显示异常，记录仪停止工作，只好卸载再安装！之前刚收货说卡顿想退，直接拒绝，唉 ～本来都装好了，嫌麻烦就干脆懒得再退了将就着，结果越用越不顺心,前摄画面勉强能看，后摄像头拍的基本看不清
安装简单，没想到记录仪非常强大，前后双摄像头，而且还有倒车影像。满意，赞?,
东西看着挺好，就是不兼容，卖家讲解也挺细心可咋的都不行就是黑屏不知道为什么（我是新车安卓系统）不多说了看图吧，,去电器师傅那能了老半天放弃了
东西安装方便，自己安装，调试搞定，好评 东西安装方便，自己安装，调试搞定，好评,
此用户没有填写评论!,
"评价方未及时做出评价,系统默认好评!",要下手的朋友注意咯。  开始用时很好用，没问题而且不卡顿。用了一个月发现影像就算是在电脑刘放也是卡顿的，其他问题也开始出现，例如记录器用了5分钟后就会发烫然后没影像。开始时客服说是记忆卡的问题，后来我买了好几张卡也是一样的问题 （我买了记录器专用的哦）。后来发现原来记录器只喜好8GB卡，多过8GB就会经常黑影没影像。  联络了客服叫我把记录器和卡运回厂测试。我看还是算了，海外运回去的邮费不便宜。
效果很不错客服很好，辅助功能也很好，就是电子狗距离有误差总体来说不错好评,
值得推荐的一款记录仪，拍摄流畅清晰，安装方便，最满意的一次购物。,
清晰度挺高 白天试的效果 客服忘记带卡了 自己又买了一个。值得推荐的一款记录仪 使用一段时间再追加,
行车记录仪很好，质量不错，安装很方便，录制很清晰，用起来很舒服，价格也不贵，值得买，,
试用了几天，白天很清晰，晚上几米之外也能看得清楚，同等价位下，比我之前买的另一个牌子强得太多。送的礼品很多也很适用。,
还是这个好用。之前跟车机那个用不了还两百多块钱呢！用卖家这个产品相当好，不知道夜间怎么样，夜间出车再追评。,
记录仪质量很好，录制的视频很清晰，电子狗的提示很准确，行车路线偏移提示准确实用。,
看同事装的这种，就叫他推荐给我的，还没开始用，过段时间再说吧,
宝贝收到，安装方便，连接大屏幕，使用非常方便！值得推,
发货快，安装方便拍的视频清晰质量不错好评,
不错 还是挺喜欢的  对得起这个价格  很满意,
玩这么久了，积分也上不去，听别人说要超十五个字才有积分，东西不是很好，每次开车还要手动点一下，而且录像时不流畅，一顿一顿的，我拿到电脑上面播放不卡！习惯好评,
此用户没有填写评论!,这款记录仪真不错，售后服务态度挺好
好很好安装方便，视线清楚。,
"好评，夜视效果不错，清晰度差点但够用了，角度没有170,画面没有什么变形。",
很好 清晰也不错,
寄貨快速，服務不錯,
"评价方未及时做出评价,系统默认好评!",产品可以，客服的服务很满意。
物流很快，记录视频清晰，就是每个文件几百兆，太占用空间了。,
可以，还有不少礼物，这个价钱已经很好了,
挺好的，卖家服务很好,
机子不错，就是稍微有点卡，有待改善,
还行，还在研究中,
还行吧，对于这个价位来说，清晰度再高点就好了，录的视频还是挺流畅的,还行吧
这价钱   绝对值     超出期待,
卖家售后服务很好，售后比较满意,
东西很好用，服务态度也很好啊,
卖家服务态度很好,
五星好评,
产品不错，值得购买。,
安装方便，反应灵敏，画面比较清晰！晚上也可以，摄像头隐藏的也不错,
还可以挺清晰的,
没装，东西还可以，这个价位挺好的了，我问客服要个安装视屏都不给发，东西一出手，就什么也不管了，,
不错，比在天之眼买的400多的那款好多了，内存只能用32G的，因为是高清视频，出门一天，内存就满了,
谢谢老板耐心解释，老板人品非常好，还送了好多礼品,
收到，正在装车，挺精致的，不错不错,
清晰度很高值得信赖给赞,
质量不错，画面清晰，安装方便，不挡视线，回放容易操作，自动循环删除，不懂的老板都耐心指导了。有朋友需要我会帮忙的。（我用魅族手机拍的，可能不太清楚）,
好评,终于买到真正好用的记录仪，买了这个专门测试了几天，开机都可以自动录像。前面买了好几家店铺的机器开机无法自动录像，买了这个完美解决问题。并且产品720P的清晰度个人觉得已经是非常好了，夜晚效果也基本够用了，晚上都能看清。老板服务也非常好，不懂的都会教，电子狗和adas功能使用起来也挺好的。说实话其他功能不重要，开机能自动录像是最重要的。推荐购买
好东西，安装简单，自己就办了，清楚,
这个真不错  比自己以前的方便很多  就是市区尽量别开车道偏离  因为根本就变来变去的  高速应该很有用,
已安装完毕，简单好用。,
4S店配的被盗了，买的这款发现好清晰，4儿子的太垃圾价格还贵的不行，就是有一次提示未发现摄像头什么的，再观察观察，总体很满意,
合作愉快,
这个行车记录仪收到了  收到后回来自己不太会安装 特意请教客服   客服发来了安装视频 还有走线视频  自己一步一步的安装成功了   这个行车记录仪的像素非常高  录制的非常清楚哦  值得购买哦好评五分儿  视频开车用手机录的,
快递蛮快的。用了几天效果很好。电脑播放画面非常流畅，很清晰。,特地用了好几天。自动循环录像完全不用自己删除。方便简洁。推荐购买
收到迫不及待的自己动手按了起来，宝贝很好，就是像素不是高清的，待提高,
要五十八个字哎！几楼的聊几句进口考虑考虑离开了考虑考虑激进派杜绝绝交OK热绝色佳人可热可热咳咳咳SD卡热饿了凯瑟琳热凯瑟琳热可怜特DJ热卡热戒色困了就睡DJ热了凯瑟琳热了可怜DJ热咳咳咳他的特咳咳咳咳科特饿绝路拒绝不大,
最满意的一次购物，清晰度很好。功能很多，值得购买。,
很好用，很清晰,
蛮清晰的    挺好,
好,
下单以后挺期待的。收货后迫不及待的进行安装。效果比我以前那个好很多，好评！,
记录仪挺好，电子狗是个摆设,
发货速度很快，几分钟就安装好了。送的礼物比我买的时候多，朋友非常满意。,
卖家服务态度非常好 贴不牢马上就帮补发助粘胶及3M胶 东西一直用得不错 这个是帮朋友买的 大屏上显示效果好 隐藏安装是我想要的 不挡视线,车载导航没点开App也可以录像的 刚开始没搞懂 掌柜耐心解答 是好产品 值得推荐
客服非常热情解答各种疑问，装机调试后非常满意，比以前4S店装的方便多了，功能非常好用，物流也非常快省内1天到货。,
很好很功能强大值得拥有，好评,
功能齐全，效果很好。喜欢???????,
好不好不知道，没时间装，等装好了追评！！！,很不错，比较满意
东西一般，实在看不到亮点,
录像清晰，与描述一致,
"记录仪做工好，自带内存安装软件操作简单，有adas及电子狗功能确实很实用。摄像头是720p,用手机测试了下清晰连贯，性价比高。",
自己轻轻松松就装上了，自动调整好才评论，效果相当不错，还有的都有了，价钱实惠，有需要的可以来看看！,
必须给个好评，东西不错,
夜间效果还不错,
对得起价格吧，后摄不清楚。,
功能很强大，有逼格,
